Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2018,4,Total Covered,Total all industries,10137226.0,148087058.67,1145.0
U.S. TOTAL,2018,4,Federal Government,Total all industries,58858.0,2809726.0,1712.0
U.S. TOTAL,2018,4,State Government,Total all industries,69933.0,4670765.33,1190.0
U.S. TOTAL,2018,4,Local Government,Total all industries,170473.0,14563246.67,1004.0
U.S. TOTAL,2018,4,Private,Total all industries,9837962.0,126043320.67,1146.0
U.S. TOTAL,2018,4,Private,Goods-producing,1314647.0,22060313.67,1327.0
U.S. TOTAL,2018,4,Private,Natural resources and mining,139531.0,1934773.0,1181.0
U.S. TOTAL,2018,4,Private,Construction,821447.0,7380574.33,1319.0
U.S. TOTAL,2018,4,Private,Manufacturing,353669.0,12744966.33,1355.0
U.S. TOTAL,2018,4,Private,Service-providing,8523315.0,103983007.0,1108.0
U.S. TOTAL,2018,4,Private,Trade transportation and utilities,1942354.0,27996890.0,938.0
U.S. TOTAL,2018,4,Private,Information,177861.0,2827027.67,2168.0
U.S. TOTAL,2018,4,Private,Financial activities,905453.0,8233798.0,1826.0
U.S. TOTAL,2018,4,Private,Professional and business services,1878620.0,21237841.67,1532.0
U.S. TOTAL,2018,4,Private,Education and health services,1726088.0,22940437.0,1024.0
U.S. TOTAL,2018,4,Private,Leisure and hospitality,870801.0,16082152.67,502.0
U.S. TOTAL,2018,4,Private,Other services,864832.0,4529303.33,772.0
U.S. TOTAL,2018,4,Private,Unclassified,157306.0,135556.67,1367.0
San Bernardino County California,2018,4,Total Covered,Total all industries,61549.0,769670.0,933.0
San Bernardino County California,2018,4,Federal Government,Total all industries,145.0,13743.0,1524.0
San Bernardino County California,2018,4,State Government,Total all industries,511.0,12846.67,1256.0
San Bernardino County California,2018,4,Local Government,Total all industries,908.0,99078.67,1144.0
San Bernardino County California,2018,4,Private,Total all industries,59985.0,644001.67,882.0
San Bernardino County California,2018,4,Private,Goods-producing,5840.0,97946.33,1199.0
San Bernardino County California,2018,4,Private,Natural resources and mining,221.0,3127.0,883.0
San Bernardino County California,2018,4,Private,Construction,3637.0,38525.67,1300.0
San Bernardino County California,2018,4,Private,Manufacturing,1982.0,56293.67,1147.0
San Bernardino County California,2018,4,Private,Service-providing,54145.0,546055.33,825.0
San Bernardino County California,2018,4,Private,Trade transportation and utilities,9781.0,221881.0,835.0
San Bernardino County California,2018,4,Private,Information,336.0,4889.33,1101.0
San Bernardino County California,2018,4,Private,Financial activities,3233.0,21227.0,1165.0
San Bernardino County California,2018,4,Private,Professional and business services,5105.0,81496.33,943.0
San Bernardino County California,2018,4,Private,Education and health services,28482.0,119990.67,947.0
San Bernardino County California,2018,4,Private,Leisure and hospitality,4090.0,76835.33,395.0
San Bernardino County California,2018,4,Private,Other services,2948.0,19684.67,723.0
San Bernardino County California,2018,4,Private,Unclassified,170.0,51.0,2464.0
