Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
San Bernardino County California,1990,1,Total Covered,Total all industries,22228.0,406233.0,416.0
San Bernardino County California,1990,1,Federal Government,Total all industries,133.0,14459.67,508.0
San Bernardino County California,1990,1,State Government,Total all industries,426.0,7796.67,675.0
San Bernardino County California,1990,1,Local Government,Total all industries,171.0,56922.67,493.0
San Bernardino County California,1990,1,Private,Total all industries,21498.0,327054.0,393.0
San Bernardino County California,1990,1,Private,Goods-producing,5113.0,86847.33,460.0
San Bernardino County California,1990,1,Private,Natural resources and mining,516.0,6024.33,338.0
San Bernardino County California,1990,1,Private,Construction,3011.0,32517.0,448.0
San Bernardino County California,1990,1,Private,Manufacturing,1586.0,48306.0,484.0
San Bernardino County California,1990,1,Private,Service-providing,16385.0,240206.67,368.0
San Bernardino County California,1990,1,Private,Trade transportation and utilities,4546.0,89159.67,394.0
San Bernardino County California,1990,1,Private,Information,157.0,8505.67,574.0
San Bernardino County California,1990,1,Private,Financial activities,1606.0,17683.0,445.0
San Bernardino County California,1990,1,Private,Professional and business services,2221.0,32710.0,402.0
San Bernardino County California,1990,1,Private,Education and health services,1878.0,41922.33,421.0
San Bernardino County California,1990,1,Private,Leisure and hospitality,1721.0,37286.0,168.0
San Bernardino County California,1990,1,Private,Other services,4161.0,12685.0,276.0
U.S. TOTAL,1990,1,Total Covered,Total all industries,6020632.0,106906248.67,448.0
U.S. TOTAL,1990,1,Federal Government,Total all industries,45931.0,3164514.0,580.0
U.S. TOTAL,1990,1,State Government,Total all industries,55641.0,3949723.67,495.0
U.S. TOTAL,1990,1,Local Government,Total all industries,103342.0,10806232.0,447.0
U.S. TOTAL,1990,1,Private,Total all industries,5815692.0,88984929.33,442.0
U.S. TOTAL,1990,1,Private,Goods-producing,1165514.0,24187749.0,518.0
U.S. TOTAL,1990,1,Private,Natural resources and mining,123785.0,1541047.0,450.0
U.S. TOTAL,1990,1,Private,Construction,655683.0,4902522.33,485.0
U.S. TOTAL,1990,1,Private,Manufacturing,386046.0,17744179.67,533.0
U.S. TOTAL,1990,1,Private,Service-providing,4650178.0,64797180.33,413.0
U.S. TOTAL,1990,1,Private,Trade transportation and utilities,1587139.0,22210624.33,401.0
U.S. TOTAL,1990,1,Private,Information,83946.0,2747806.67,648.0
U.S. TOTAL,1990,1,Private,Financial activities,522305.0,6744585.0,575.0
U.S. TOTAL,1990,1,Private,Professional and business services,778796.0,10167155.0,516.0
U.S. TOTAL,1990,1,Private,Education and health services,514989.0,10484056.0,403.0
U.S. TOTAL,1990,1,Private,Leisure and hospitality,484481.0,8968747.0,191.0
U.S. TOTAL,1990,1,Private,Other services,663827.0,3401356.33,296.0
San Bernardino County California,1990,2,Total Covered,Total all industries,22471.0,410206.0,427.0
San Bernardino County California,1990,2,Federal Government,Total all industries,136.0,14453.33,523.0
San Bernardino County California,1990,2,State Government,Total all industries,440.0,7968.33,668.0
San Bernardino County California,1990,2,Local Government,Total all industries,171.0,57752.67,513.0
San Bernardino County California,1990,2,Private,Total all industries,21724.0,330031.67,401.0
San Bernardino County California,1990,2,Private,Goods-producing,5081.0,87302.67,468.0
San Bernardino County California,1990,2,Private,Natural resources and mining,507.0,6339.67,353.0
San Bernardino County California,1990,2,Private,Construction,2993.0,32114.33,470.0
San Bernardino County California,1990,2,Private,Manufacturing,1581.0,48848.67,481.0
San Bernardino County California,1990,2,Private,Service-providing,16643.0,242729.0,378.0
San Bernardino County California,1990,2,Private,Trade transportation and utilities,4536.0,90410.67,403.0
San Bernardino County California,1990,2,Private,Information,155.0,8684.33,518.0
San Bernardino County California,1990,2,Private,Financial activities,1615.0,17832.0,430.0
San Bernardino County California,1990,2,Private,Professional and business services,2200.0,33885.0,406.0
San Bernardino County California,1990,2,Private,Education and health services,1886.0,42841.33,459.0
San Bernardino County California,1990,2,Private,Leisure and hospitality,1705.0,35508.33,165.0
San Bernardino County California,1990,2,Private,Other services,4453.0,13314.33,277.0
U.S. TOTAL,1990,2,Total Covered,Total all industries,6039680.0,109307782.0,443.0
U.S. TOTAL,1990,2,Federal Government,Total all industries,46248.0,3357096.67,556.0
U.S. TOTAL,1990,2,State Government,Total all industries,55756.0,3970028.67,493.0
U.S. TOTAL,1990,2,Local Government,Total all industries,103194.0,10896419.0,470.0
U.S. TOTAL,1990,2,Private,Total all industries,5834457.0,91083420.33,433.0
U.S. TOTAL,1990,2,Private,Goods-producing,1166832.0,24944327.67,515.0
U.S. TOTAL,1990,2,Private,Natural resources and mining,124065.0,1791910.33,424.0
U.S. TOTAL,1990,2,Private,Construction,656714.0,5258638.33,490.0
U.S. TOTAL,1990,2,Private,Manufacturing,386053.0,17893779.0,531.0
U.S. TOTAL,1990,2,Private,Service-providing,4667625.0,66139092.67,402.0
U.S. TOTAL,1990,2,Private,Trade transportation and utilities,1589914.0,22347923.33,399.0
U.S. TOTAL,1990,2,Private,Information,84305.0,2783201.33,571.0
U.S. TOTAL,1990,2,Private,Financial activities,522827.0,6802401.67,517.0
U.S. TOTAL,1990,2,Private,Professional and business services,784789.0,10460033.67,498.0
U.S. TOTAL,1990,2,Private,Education and health services,516263.0,10608398.0,421.0
U.S. TOTAL,1990,2,Private,Leisure and hospitality,487808.0,9592761.0,189.0
U.S. TOTAL,1990,2,Private,Other services,667687.0,3471203.0,299.0
San Bernardino County California,1990,3,Total Covered,Total all industries,22995.0,403523.33,426.0
San Bernardino County California,1990,3,Federal Government,Total all industries,137.0,14786.33,544.0
San Bernardino County California,1990,3,State Government,Total all industries,423.0,7857.67,693.0
San Bernardino County California,1990,3,Local Government,Total all industries,172.0,48567.33,494.0
